system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
2_688_0,-0.045672454,0.3321936,-0.026489029,0.20471528,-0.046779767,0.38307944,183.0,8342.0,-1760.0,18702.0,-431.0,12346.0,136.0,9375.0,-0.032156374,0.34570968,-0.02563875,0.20556556,-0.031567946,0.39829126,-236.0,7923.0,-2050.0,18412.0,-644.0,12133.0,-287.0,8952.0,-0.06393576,0.3139303,-0.02963654,0.20156777,-0.07520612,0.35465306,-309.0,7850.0,-3984.0,16478.0,-1827.5,10949.5,-635.0,8604.0,0.0,0.37786606,0.0,0.2312043,0.0,0.4298592,0.0,8159.0,0.0,20462.0,0.0,12777.0,0.0,9239.0,0,-0.43024810532904484,111.55337588689687,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_689_0,0.037333325,0.37307706,0.025993994,0.24423212,0.028361484,0.41406626,-533.0,8229.0,94.5,19859.5,-620.5,12063.0,-761.5,9067.5,0.044073902,0.37981763,0.032599222,0.25083736,0.04257593,0.4282807,-615.0,8147.0,588.0,20353.0,-493.5,12190.0,-681.0,9148.0,0.025860932,0.36160466,0.021485083,0.23972322,0.026220812,0.41192558,-591.0,8171.0,-147.0,19618.0,-652.5,12031.0,-631.0,9198.0,0.0,0.33574373,0.0,0.21823813,0.0,0.3857048,0.0,8762.0,0.0,19765.0,0.0,12683.5,0.0,9829.0,0,5.019471397310444,116.37921542471535,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_690_0,-0.02986456,0.3922693,9.942153E-4,0.2527822,-0.030073771,0.44554582,-156.0,8614.0,-2221.0,22458.0,-1356.0,13395.0,-225.0,9803.0,0.028640304,0.45077416,0.038128927,0.2899169,0.03103683,0.5066564,-256.0,8514.0,1322.5,26001.5,-437.5,14313.5,-184.5,9843.5,-0.0047115693,0.4174223,0.015675616,0.2674636,-0.0025999567,0.47301963,-339.5,8430.5,-1114.0,23565.0,-1131.5,13619.5,-342.5,9685.5,0.0,0.42213386,0.0,0.251788,0.0,0.4756196,0.0,8770.0,0.0,24679.0,0.0,14751.0,0.0,10028.0,0,-0.4639349284835269,109.53054953011653,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_691_0,0.001599325,0.3508213,-0.021819916,0.20776577,-9.455822E-4,0.3949367,-247.0,8365.0,-614.0,19285.0,182.0,12650.0,-330.0,9268.0,0.041939702,0.39116165,0.019316748,0.24890244,0.032836925,0.42871922,-52.5,8559.5,1507.5,21406.5,406.0,12874.0,-229.5,9368.5,-0.026503222,0.32271874,-0.017609844,0.21197584,-0.023633976,0.37224832,1212.0,9824.0,1576.0,21475.0,1495.0,13963.0,1398.0,10996.0,0.0,0.34922194,0.0,0.22958569,0.0,0.39588228,0.0,8612.0,0.0,19899.0,0.0,12468.0,0.0,9598.0,0,-1.1751311389209522,113.4829571171856,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_692_0,0.017104933,0.31903672,0.027010972,0.21276483,0.027508462,0.3660015,-618.0,7950.5,-207.5,17130.0,-786.0,11119.5,-452.5,8843.5,0.030501263,0.33243304,0.033670418,0.21942428,0.035561647,0.37405467,-478.0,8090.5,422.5,17760.0,-537.0,11368.5,-398.0,8898.0,0.02534847,0.32728025,0.020980036,0.2067339,0.027695721,0.36618873,-379.5,8189.0,314.0,17651.5,-302.0,11603.5,-349.5,8946.5,0.0,0.30193177,0.0,0.18575385,0.0,0.33849302,0.0,8568.5,0.0,17337.5,0.0,11905.5,0.0,9296.0,0,1.9316024396780012,114.34641776828128,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_693_0,0.009026279,0.3746581,-0.009606381,0.23183921,0.0068814973,0.4308185,-233.5,7997.0,-241.5,20103.0,105.0,12536.0,-305.5,9145.0,0.0121736685,0.37780547,0.0039851377,0.24543072,0.009266624,0.43320364,-146.0,8084.5,98.0,20442.5,-45.5,12385.5,-219.0,9231.5,0.010350071,0.3759819,-0.008193217,0.23325238,0.008450066,0.43238708,-282.5,7948.0,-287.5,20057.0,39.0,12470.0,-354.5,9096.0,0.0,0.36563182,0.0,0.24144559,0.0,0.42393702,0.0,8230.5,0.0,20344.5,0.0,12431.0,0.0,9450.5,0,-2.7220300581747683,115.87472156115382,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_694_0,-0.028827969,0.35636577,-0.008356505,0.23521033,-0.026270902,0.406473,174.0,8234.0,-845.5,19512.0,-302.0,12081.0,223.5,9259.0,-0.02687829,0.35831547,-0.022289298,0.22127753,-0.024837185,0.4079067,65.0,8125.0,-1037.5,19320.0,-64.0,12319.0,91.5,9127.0,-0.023699379,0.36149436,-0.022046443,0.2215204,-0.0226087,0.4101352,-11.0,8049.0,-1115.5,19242.0,-120.0,12263.0,-11.5,9024.0,0.0,0.38519377,0.0,0.24356684,0.0,0.4327439,0.0,8060.0,0.0,20357.5,0.0,12383.0,0.0,9035.5,0,4.282942695860849,115.16999322076207,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_695_0,0.010972686,0.3541506,0.011737156,0.2376015,0.0017771849,0.3948906,-182.5,8000.0,-341.5,18441.5,-501.0,11360.5,-389.5,8795.5,-0.010290112,0.3328878,-0.0024614357,0.22340292,-0.02336773,0.3697457,-382.0,7800.5,-1830.0,16953.0,-1100.0,10761.5,-700.0,8485.0,0.019688265,0.3628662,0.008374883,0.23423924,0.02953184,0.42264527,-54.5,8128.0,1245.0,20028.0,564.5,12426.0,178.0,9363.0,0.0,0.3431779,0.0,0.22586435,0.0,0.39311343,0.0,8182.5,0.0,18783.0,0.0,11861.5,0.0,9185.0,0,-0.7846334849141962,115.19694267928564,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_696_0,-0.005315139,0.36939806,-0.0030033013,0.23660946,-0.009044746,0.4154762,238.5,8347.0,141.5,20213.0,166.0,12478.0,178.5,9308.0,-0.010678484,0.3640347,-0.010249284,0.22936349,-0.0022461573,0.42227477,-47.5,8061.0,-226.5,19845.0,128.0,12440.0,123.0,9252.5,-0.005273855,0.36943933,-1.7009059E-5,0.23959576,-0.008081402,0.41643953,27.5,8136.0,-323.5,19748.0,-198.0,12114.0,-36.5,9093.0,0.0,0.37471318,0.0,0.23961277,0.0,0.42452094,0.0,8108.5,0.0,20071.5,0.0,12312.0,0.0,9129.5,0,5.174161289235826,117.34050261025165,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_697_0,0.010563763,0.3757481,0.0056805583,0.24026519,0.010604449,0.40999767,182.5,8200.0,916.0,19596.5,422.5,12004.0,205.5,8892.0,0.040873066,0.40605742,0.025576053,0.26016068,0.044592436,0.44398564,196.5,8214.0,2651.5,21332.0,942.5,12524.0,324.5,9011.0,0.026183108,0.39136747,0.01567156,0.25025618,0.025709435,0.42510265,103.5,8121.0,1450.5,20131.0,490.5,12072.0,119.5,8806.0,0.0,0.36518434,0.0,0.23458463,0.0,0.3993932,0.0,8017.5,0.0,18680.5,0.0,11581.5,0.0,8686.5,0,-1.2821204892595872,114.96868076559088,"{""type"":""MultiPoint"",""coordinates"":[]}"
