system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
2_911_0,-0.0026002065,0.3353202,-0.0024567842,0.19491333,-0.0076002604,0.38260642,15.0,8203.0,-297.0,18370.0,-136.0,12377.0,-93.5,9144.0,-0.0069220318,0.33099836,-0.007736081,0.18963403,-0.005458356,0.3847483,1.0,8189.0,-236.0,18431.0,42.0,12555.0,26.5,9264.0,-0.00697332,0.3309471,-0.006852338,0.19051777,-0.0055420925,0.38466457,-8.5,8179.5,-261.0,18406.0,2.0,12515.0,15.0,9252.5,0.0,0.3379204,0.0,0.19737011,0.0,0.39020666,0.0,8188.0,0.0,18667.0,0.0,12513.0,0.0,9237.5,0,-8.381416348127754,-62.5813588470075,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_912_0,0.0147731695,0.34704962,-0.014098763,0.21478502,0.03267972,0.4087421,-143.0,7859.0,1077.0,18725.0,1029.5,12103.5,231.5,9076.5,-0.01923229,0.31304416,-0.018602902,0.21028088,-0.016026631,0.36003575,-125.0,7877.0,-908.0,16740.0,-151.0,10923.0,-87.0,8758.0,0.039217193,0.37149364,0.0066108922,0.23549467,0.061895236,0.4379576,0.5,8002.5,2826.0,20474.0,1595.0,12669.0,537.5,9382.5,0.0,0.33227646,0.0,0.22888379,0.0,0.37606236,0.0,8002.0,0.0,17648.0,0.0,11074.0,0.0,8845.0,0,4.5554017215343,-64.40044729734953,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_913_0,-0.050020427,0.32159695,-0.04299017,0.18288502,-0.0408786,0.3883773,-136.5,7904.0,-2193.0,17942.0,-321.0,12394.0,-14.5,9210.0,-0.043597016,0.32802033,-0.023320222,0.20255497,-0.0035969652,0.42565894,-152.5,7888.0,-555.0,19580.0,269.0,12984.0,683.0,9907.5,-0.034700785,0.33691657,-0.028390419,0.19748478,-0.038249295,0.39100662,-36.5,8004.0,-1853.0,18282.0,-463.0,12252.0,-157.0,9067.5,0.0,0.37161738,0.0,0.22587518,0.0,0.4292559,0.0,8040.5,0.0,20135.0,0.0,12715.0,0.0,9224.5,0,1.9251345696323408,-52.93075774971148,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_914_0,-0.004174551,0.3274369,-0.006091562,0.19538774,0.005836943,0.38110274,-43.0,8037.0,148.0,17935.0,250.5,12072.0,159.0,9087.0,0.002474489,0.33408594,0.012612297,0.2140916,0.011597741,0.38686353,18.0,8098.0,530.0,18317.0,35.5,11857.0,215.0,9143.0,-0.0010078403,0.3306036,0.0035274846,0.2050068,-0.009264835,0.36600095,-48.5,8031.5,-482.5,17304.5,-405.0,11416.5,-222.5,8705.5,0.0,0.33161145,0.0,0.2014793,0.0,0.37526578,0.0,8080.0,0.0,17787.0,0.0,11821.5,0.0,8928.0,0,2.713406231447221,-69.39121752133235,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_915_0,-0.036056064,0.30872682,-0.031407245,0.18520513,-0.03967282,0.35544148,1320.0,9417.0,1128.0,19803.0,1589.0,13614.0,1361.0,10460.0,-0.005954788,0.33882812,-0.021227071,0.1953853,-0.007905646,0.38720864,119.0,8216.0,-76.0,18599.0,494.0,12519.0,86.0,9185.0,-0.002135594,0.34264728,-0.020783575,0.1958288,0.0015308242,0.39664513,-22.0,8075.0,17.0,18692.0,545.0,12570.0,52.5,9151.5,0.0,0.3447829,0.0,0.21661238,0.0,0.3951143,0.0,8097.0,0.0,18675.0,0.0,12025.0,0.0,9099.0,0,0.5865549647658416,-72.46938467389631,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_916_0,-0.013923195,0.31021446,-0.012018017,0.18233083,-0.011228646,0.35414425,35.0,8100.0,-368.5,16983.0,40.5,11745.0,84.5,8941.0,-0.02296106,0.3011766,-0.016540058,0.17780879,-0.017513406,0.34785947,1.0,8066.0,-680.5,16671.0,-67.0,11637.5,97.0,8953.5,-0.009901986,0.3142357,-0.00825639,0.18609245,-0.008496733,0.35687616,116.5,8181.5,-90.0,17261.5,140.5,11845.0,150.5,9007.0,0.0,0.32413766,0.0,0.19434884,0.0,0.3653729,0.0,8065.0,0.0,17351.5,0.0,11704.5,0.0,8856.5,0,-12.67042267215641,-62.16391173447716,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_917_0,-0.013538737,0.3132879,-0.006695008,0.19945648,-0.014151752,0.35323542,-3.0,8016.0,-561.0,16772.0,-214.0,11194.0,-24.0,8770.0,-0.004451664,0.322375,2.956009E-4,0.2064471,-0.008962128,0.35842505,112.0,8131.0,-117.0,17216.0,-84.0,11324.0,28.0,8822.0,0.005652332,0.332479,0.0053424863,0.21149398,0.004759994,0.37214717,69.0,8088.0,343.0,17676.0,96.5,11504.5,61.0,8855.0,0.0,0.32682666,0.0,0.20615149,0.0,0.36738718,0.0,8019.0,0.0,17333.0,0.0,11408.0,0.0,8794.0,0,-10.298870322080873,-65.94060885197246,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_918_0,0.033902857,0.35810345,0.032974083,0.2152301,0.030209085,0.41398004,-146.5,8161.5,1036.5,19692.5,-187.0,12717.0,-213.5,9307.5,0.025900228,0.35010082,0.023354113,0.20561013,0.023633722,0.40740466,-273.0,8035.0,427.0,19083.0,-330.0,12574.0,-335.0,9186.0,0.0033290242,0.3275296,0.00973501,0.19199103,0.0097870985,0.39355806,-212.0,8096.0,-52.0,18604.0,-293.0,12611.0,-97.0,9424.0,0.0,0.3242006,0.0,0.18225601,0.0,0.38377094,0.0,8308.0,0.0,18656.0,0.0,12904.0,0.0,9521.0,0,-14.837698126623168,-64.06735198999802,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_919_0,-0.024489578,0.33584088,-0.031793986,0.20133984,-0.026339699,0.38651684,-123.5,8053.5,-1475.0,18201.5,-136.0,12100.5,-203.0,9049.5,-0.006421733,0.35390872,-0.025201064,0.20793277,-0.010617168,0.40223938,-89.0,8088.0,-703.5,18973.0,204.5,12441.0,-198.5,9054.0,-0.01627808,0.34405237,-0.027219802,0.20591404,-0.019170914,0.39368564,-140.0,8037.0,-1202.5,18474.0,-71.5,12165.0,-236.5,9016.0,0.0,0.36033046,0.0,0.23313384,0.0,0.41285655,0.0,8177.0,0.0,19676.5,0.0,12236.5,0.0,9252.5,0,-1.5489201286430851,-56.84678356777371,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_920_0,0.021527145,0.35933688,0.036131546,0.23077422,0.016308993,0.3956453,-46.0,8202.0,611.0,18941.0,-519.0,11838.0,-146.0,8927.0,0.01349014,0.35129988,0.028922804,0.22356549,0.009842703,0.389179,174.0,8422.0,824.0,19154.0,-202.5,12154.5,122.0,9195.0,0.017166669,0.3549764,0.04132201,0.2359647,-7.987743E-4,0.3785375,195.5,8443.5,399.5,18729.5,-779.0,11578.0,-157.0,8916.0,0.0,0.33780974,0.0,0.19464268,0.0,0.3793363,0.0,8248.0,0.0,18330.0,0.0,12357.0,0.0,9073.0,0,-3.396844499605353,-58.61547653067664,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_921_0,-0.007022218,0.3358479,-0.012926269,0.18935466,0.0043449667,0.41216323,-51.5,8329.5,85.5,20010.0,418.5,13638.5,198.5,9948.5,0.0026649092,0.34553504,0.004710771,0.20699169,0.004299074,0.41211733,-94.5,8286.5,-20.0,19904.5,-142.5,13077.5,-68.5,9681.5,0.001980946,0.34485108,0.005332065,0.20761299,7.2593364E-4,0.4085442,-95.0,8286.0,-191.5,19733.0,-272.0,12948.0,-137.0,9613.0,0.0,0.34287015,0.0,0.20228092,0.0,0.40781826,0.0,8381.0,0.0,19924.5,0.0,13220.0,0.0,9750.0,0,-14.759814191490005,-68.06665163489812,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_922_0,-0.0030748858,0.33067432,-0.008369669,0.19705617,-0.004488535,0.37353274,-23.5,8179.0,-240.5,17932.5,49.5,12028.5,-58.0,9020.0,0.009461829,0.34321105,0.001296957,0.2067228,0.0094480645,0.38746932,-88.0,8114.5,207.5,18380.5,104.0,12083.0,-90.5,8987.5,-0.011379264,0.32236996,-0.020269047,0.18515679,-0.011448349,0.36657292,-319.5,7883.0,-1166.0,17007.0,-286.0,11693.0,-363.0,8715.0,0.0,0.33374923,0.0,0.20542584,0.0,0.37802127,0.0,8202.5,0.0,18173.0,0.0,11979.0,0.0,9078.0,0,0.5693073113107467,-64.17676679160377,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_923_0,0.013919472,0.3677634,0.008956682,0.22441411,0.015167008,0.41464442,290.0,8334.0,1395.0,20141.0,658.0,12758.0,363.0,9310.0,-0.003406822,0.3504371,-0.0034546156,0.21200281,-0.0019662469,0.39751118,114.0,8158.0,177.0,18923.0,203.0,12303.0,155.0,9102.0,-0.0018119386,0.352032,-0.003462472,0.21199496,-0.0064671533,0.39301026,132.0,8176.0,17.5,18763.5,99.5,12199.5,45.5,8992.5,0.0,0.35384393,0.0,0.21545744,0.0,0.39947742,0.0,8044.0,0.0,18746.0,0.0,12100.0,0.0,8947.0,0,-4.6987728408797755,-63.88598213413428,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_924_0,0.012399161,0.37196672,0.0019464171,0.22362895,0.018524569,0.4228274,94.0,8096.0,1094.0,19958.0,645.0,12663.0,250.0,9136.0,0.0017181026,0.36128566,-0.0070488355,0.2146337,0.012494876,0.41679773,157.0,8159.0,957.0,19821.0,798.0,12816.0,414.0,9300.0,0.010245941,0.3698135,-0.0032443227,0.21843821,0.018128658,0.4224315,155.0,8157.0,1225.0,20089.0,868.0,12886.0,356.0,9242.0,0.0,0.35956755,0.0,0.22168253,0.0,0.40430284,0.0,8002.0,0.0,18864.0,0.0,12018.0,0.0,8886.0,0,-4.781507678547183,-72.11041788636214,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_925_0,-0.016392559,0.30952197,-0.016541107,0.19253911,-0.0130061135,0.35540447,65.5,8012.0,-370.0,16847.0,144.5,11407.0,130.0,8883.0,-0.014615004,0.3112995,-0.010261635,0.19881858,-0.011878287,0.3565323,-4.5,7942.0,-474.0,16743.0,-73.0,11189.5,40.5,8793.5,-0.011840877,0.31407365,-0.009771911,0.1993083,-0.009339888,0.35907072,-15.0,7931.5,-398.5,16818.5,-34.0,11228.5,26.0,8779.0,0.0,0.3259145,0.0,0.20908022,0.0,0.3684106,0.0,7946.5,0.0,17217.0,0.0,11262.5,0.0,8753.0,0,-7.4557024478425875,-53.26493103540394,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_926_0,-0.016470022,0.32468727,-0.011019607,0.20087655,-0.022643115,0.35382926,34.0,8239.0,-851.0,17262.0,-292.0,11487.0,-98.0,8800.0,-0.015478246,0.32567906,-0.014804694,0.19709146,-0.019208362,0.357264,-58.0,8147.0,-909.0,17204.0,-240.0,11539.0,-147.0,8751.0,-0.010958529,0.33019876,-0.0066453977,0.20525075,-0.009593596,0.36687878,-146.0,8059.0,-714.0,17399.0,-306.0,11473.0,-137.0,8761.0,0.0,0.34115732,0.0,0.21189617,0.0,0.37647238,0.0,8205.0,0.0,18113.0,0.0,11779.0,0.0,8898.0,0,-7.0754455880747935,-68.61534261043833,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_927_0,0.011406689,0.34554538,0.010823489,0.21056406,0.0130066825,0.39630482,-37.5,8209.5,489.5,18988.0,43.5,12382.5,3.0,9235.5,0.007105698,0.3412444,-0.0047316854,0.19500889,0.007765186,0.3910633,-9.0,8238.0,320.5,18819.0,338.0,12677.0,10.5,9243.0,0.0049408413,0.33907953,0.0048404895,0.20458107,0.0031593177,0.38645744,3.0,8250.0,144.5,18643.0,-28.5,12310.5,-31.0,9201.5,0.0,0.3341387,0.0,0.19974057,0.0,0.38329813,0.0,8247.0,0.0,18498.5,0.0,12339.0,0.0,9232.5,0,-11.425357688366754,-65.26417744303045,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_928_0,0.016578035,0.35418597,0.01159987,0.21343294,0.01796579,0.4046264,-64.0,8056.0,648.0,19006.0,128.0,12320.0,-27.0,9064.0,0.004888701,0.34249663,0.007828518,0.20966157,0.0013252418,0.38798586,-109.5,8010.5,-191.0,18167.0,-322.5,11869.5,-193.5,8897.5,0.00436891,0.34197685,0.0050713974,0.20690446,0.006142521,0.39280313,-88.0,8032.0,66.0,18424.0,-85.0,12107.0,-57.0,9034.0,0.0,0.33760792,0.0,0.20183305,0.0,0.38666064,0.0,8120.0,0.0,18358.0,0.0,12192.0,0.0,9091.0,0,-4.394782948733729,-73.08598828491596,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_929_0,-0.013829676,0.2635063,-0.010986906,0.11162881,-0.014564344,0.3243389,198.5,8764.0,-169.5,17178.0,170.0,13728.0,198.5,10013.0,0.0024301065,0.27976608,0.0143323,0.13694802,0.0045055817,0.34340882,-115.5,8450.0,-58.5,17289.0,-434.0,13124.0,-84.5,9730.0,-0.0246375,0.25269848,-0.016221428,0.10639428,-0.03373084,0.3051724,300.5,8866.0,-693.5,16654.0,-107.0,13451.0,120.5,9935.0,0.0,0.27733597,0.0,0.12261572,0.0,0.33890325,0.0,8565.5,0.0,17347.5,0.0,13558.0,0.0,9814.5,0,-13.402639460242233,-51.32510901087625,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_930_0,0.007166747,0.3576863,0.0037763251,0.20892464,0.0076643275,0.41107383,-80.5,8248.5,170.5,19763.5,10.0,12932.5,-72.5,9350.0,0.0032856148,0.35380515,0.003131669,0.20827998,0.0026997013,0.4061092,41.0,8370.0,224.0,19817.0,62.5,12985.0,36.5,9459.0,0.003110507,0.35363007,-0.01205593,0.19309239,0.0023612417,0.40577075,1.5,8330.5,114.5,19707.5,406.0,13328.5,-12.0,9410.5,0.0,0.35051954,0.0,0.20514831,0.0,0.4034095,0.0,8329.0,0.0,19593.0,0.0,12922.5,0.0,9422.5,0,-5.670031326069802,-64.3535552395185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_931_0,0.007607764,0.36139378,0.005240593,0.2259879,0.0109537225,0.40658027,10.0,8184.0,523.0,19398.5,198.0,12247.0,89.5,9099.5,0.013772883,0.3675589,0.01119568,0.23194298,0.013759071,0.40938562,47.5,8221.5,743.5,19619.0,182.5,12231.5,63.0,9073.0,0.011474734,0.36526075,0.008261876,0.22900918,0.014686282,0.41031283,68.5,8242.5,837.5,19713.0,317.5,12366.5,155.0,9165.0,0.0,0.35378602,0.0,0.2207473,0.0,0.39562654,0.0,8174.0,0.0,18875.5,0.0,12049.0,0.0,9010.0,0,-7.357336924231499,-74.70241680716062,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_932_0,-0.020333992,0.34025937,-0.0149808545,0.2116515,-0.0151604265,0.39209175,-76.5,8056.0,-859.5,18448.0,-170.0,12003.0,7.5,9081.0,-0.02711379,0.33347955,-0.025341358,0.20129101,-0.025271432,0.38198075,23.5,8156.0,-1069.5,18238.0,-47.0,12126.0,42.5,9116.0,-0.029477874,0.33111548,-0.024926588,0.20170577,-0.023145467,0.38410673,-76.0,8056.5,-1202.0,18105.5,-145.5,12027.5,24.5,9098.0,0.0,0.36059335,0.0,0.22663236,0.0,0.4072522,0.0,8132.5,0.0,19307.5,0.0,12173.0,0.0,9073.5,0,-10.975032236437636,-63.05000993073266,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_933_0,0.0041301264,0.36600137,0.0044870907,0.2204602,6.2635227E-4,0.41357392,25.5,8141.5,91.0,19625.0,-60.0,12535.0,-44.5,9108.5,-0.014942695,0.34692854,-0.010146433,0.20582667,-0.022000447,0.3909471,112.0,8228.0,-743.0,18791.0,-219.0,12376.0,-42.0,9111.0,9.420298E-4,0.36281326,0.0054677958,0.22144091,-0.0034565246,0.40949103,34.5,8150.5,-79.5,19454.5,-194.5,12400.5,-57.0,9096.0,0.0,0.36187124,0.0,0.21597311,0.0,0.41294757,0.0,8116.0,0.0,19534.0,0.0,12595.0,0.0,9153.0,0,-6.89488421596677,-67.60339044287768,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_934_0,0.030739091,0.39299762,0.021386456,0.24361041,0.036333986,0.45236975,47.0,8146.0,1965.0,21604.0,642.5,13140.0,220.0,9414.0,0.004996379,0.3672549,-0.0037715526,0.2184524,0.01942708,0.43546283,128.0,8227.0,1280.0,20919.0,920.5,13418.0,487.0,9681.0,0.011611515,0.37387004,-6.682854E-4,0.22155567,0.0254419,0.44147766,27.5,8126.5,1334.5,20973.5,868.0,13365.5,364.5,9558.5,0.0,0.36225852,0.0,0.22222395,0.0,0.41603577,0.0,8099.0,0.0,19639.0,0.0,12497.5,0.0,9194.0,0,-2.1808849310211684,-51.80939078054508,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_935_0,0.02666072,0.352602,0.028766356,0.22485304,0.023234293,0.40081123,-46.5,7977.0,891.0,18649.0,-133.5,11802.0,-101.5,8926.0,0.013536111,0.3394774,0.010789742,0.20687643,0.010555463,0.3881324,-47.5,7976.0,337.0,18095.0,-44.0,11891.5,-104.5,8923.0,-0.012789033,0.31315225,-0.01583909,0.18024759,-0.015835878,0.36174107,-2.5,8021.0,-645.0,17113.0,-49.5,11886.0,-76.5,8951.0,0.0,0.32594126,0.0,0.19608669,0.0,0.37757695,0.0,8023.5,0.0,17758.0,0.0,11935.5,0.0,9027.5,0,-12.170510216543896,-54.59839024315096,"{""type"":""MultiPoint"",""coordinates"":[]}"
