system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
1_1000_0,-0.1534064,0.2605553,-0.081482545,0.16787353,-0.1740037,0.29904452,4986.0,13315.0,1393.0,24676.0,3593.0,17582.0,4825.0,14475.0,-0.064341225,0.34962046,-0.04593555,0.20342053,-0.06797485,0.40507334,460.0,8789.0,-2525.5,20757.5,-249.0,13740.0,353.0,10003.0,-0.04048903,0.37347266,-0.022393532,0.22696255,-0.03193786,0.44111034,248.0,8577.0,-1167.0,22116.0,-55.0,13934.0,438.5,10088.5,0.0,0.41396168,0.0,0.24935609,0.0,0.4730482,0.0,8329.0,0.0,23283.0,0.0,13989.0,0.0,9650.0,1,0.767924820629573,114.47146325583073,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1001_0,-0.019104837,0.3230723,-0.005689926,0.21609528,-0.029765524,0.36731297,63.5,8174.0,-1128.5,17665.0,-583.5,11387.0,-173.0,9038.0,0.028558811,0.37073597,0.031411644,0.25319684,0.028554525,0.425633,-194.0,7916.5,856.0,19649.5,-261.0,11709.5,-190.5,9020.5,0.030348761,0.3725259,0.024979493,0.24676469,0.022132969,0.41921148,-8.5,8102.0,1004.5,19798.0,-9.5,11961.0,-160.0,9051.0,0.0,0.34217715,0.0,0.2217852,0.0,0.3970785,0.0,8110.5,0.0,18793.5,0.0,11970.5,0.0,9211.0,1,3.1613062321092142,113.97586271358198,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1002_0,-0.025176005,0.36969316,-9.769788E-4,0.2330704,-0.022442766,0.4011974,35.5,8851.5,-1063.5,20712.5,-633.5,12882.5,84.5,9531.5,-0.023792876,0.3710763,-0.004166733,0.22988065,-0.024164552,0.3994756,-227.0,8589.0,-1760.0,20016.0,-982.5,12533.5,-265.5,9181.5,-0.02052388,0.3743453,0.0021045771,0.23615195,-0.004189741,0.41945043,-391.5,8424.5,-1178.0,20598.0,-788.0,12728.0,-70.0,9377.0,0.0,0.39486918,0.0,0.23404738,0.0,0.42364016,0.0,8816.0,0.0,21776.0,0.0,13516.0,0.0,9447.0,1,1.5249351105570939,109.87873653424126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1003_0,0.021758912,0.38096052,0.015780874,0.24420182,0.011400221,0.41964316,62.0,8246.0,695.0,20171.0,20.0,12253.0,-140.0,9042.0,0.01677131,0.37597293,0.0027675405,0.23118849,0.01462939,0.42287233,62.0,8246.0,854.0,20330.0,462.0,12695.0,38.0,9220.0,0.012042423,0.37124404,0.0069701727,0.23539113,0.0023660173,0.41060898,110.5,8294.5,375.5,19851.5,53.5,12286.5,-79.5,9102.5,0.0,0.3592016,0.0,0.22842096,0.0,0.40824294,0.0,8184.0,0.0,19476.0,0.0,12233.0,0.0,9182.0,1,-2.6091118269609446,113.31128906639036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1004_0,0.06270285,0.38346252,0.039994095,0.24845517,0.051970363,0.43226886,-1642.5,8489.0,-1150.5,21416.0,-1889.0,12892.0,-2061.5,9544.0,0.046197183,0.36695686,0.019808916,0.22827,0.034463644,0.41476214,-1655.5,8476.0,-2076.5,20490.0,-1907.0,12874.0,-2116.5,9489.0,-0.006026018,0.31473365,0.008137701,0.21659878,-0.03048319,0.3498153,-2255.0,7876.5,-6214.5,16352.0,-4251.5,10529.5,-3082.5,8523.0,0.0,0.32075968,0.0,0.20846108,0.0,0.3802985,0.0,10131.5,0.0,22566.5,0.0,14781.0,0.0,11605.5,1,0.5321170585481986,110.07331162478154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1005_0,0.09842864,0.3921716,0.07913244,0.23546027,0.12856407,0.4410746,-1943.0,8270.0,1824.5,21322.5,-1031.0,13195.0,-1334.5,9309.5,0.0676518,0.36139476,0.05628256,0.2126104,0.101653636,0.41416416,-1624.5,8588.5,1234.0,20732.0,-764.0,13462.0,-919.0,9725.0,0.062285606,0.35602856,0.054151893,0.21047974,0.10073739,0.4132479,-1696.0,8517.0,1016.0,20514.0,-846.0,13380.0,-902.0,9742.0,0.0,0.29374295,0.0,0.15632784,0.0,0.31251052,0.0,10213.0,0.0,19498.0,0.0,14226.0,0.0,10644.0,1,1.6489026197655878,111.81775007501324,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1006_0,-0.018118551,0.36806017,-0.007469286,0.22319351,-0.027689721,0.4251984,318.0,8691.0,-686.0,21549.0,-215.0,13685.0,108.0,9954.0,-0.0183682,0.36781055,-0.01745902,0.21320377,-0.025421593,0.42746654,140.0,8513.0,-1010.0,21225.0,-135.0,13765.0,-36.0,9810.0,0.0016351928,0.38781393,-0.013820914,0.21684188,-0.0033333327,0.4495548,220.0,8593.0,394.0,22629.0,664.0,14564.0,136.0,9982.0,0.0,0.38617873,0.0,0.2306628,0.0,0.45288813,0.0,8373.0,0.0,22235.0,0.0,13900.0,0.0,9846.0,1,0.7857114632551395,114.27958311114278,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1007_0,0.006002142,0.39541465,0.0020773897,0.26313093,0.003499845,0.44179326,81.0,8112.0,388.5,20952.5,173.0,12223.0,41.0,9078.0,0.0064393273,0.39585185,-0.0050374824,0.25601605,0.0047142883,0.4430077,2.5,8033.5,248.5,20812.5,278.0,12328.0,-29.0,9008.0,-0.0073283017,0.38208422,0.0021465262,0.26320007,-0.020429162,0.41786423,384.5,8415.5,-67.0,20497.0,-94.5,11955.5,127.0,9164.0,0.0,0.38941252,0.0,0.26105353,0.0,0.4382934,0.0,8031.0,0.0,20564.0,0.0,12050.0,0.0,9037.0,1,4.943473924273933,115.59579466543471,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1008_0,0.007315725,0.3620176,-3.0951775E-4,0.23447472,0.0041580503,0.4107788,49.0,8402.0,316.0,20117.0,204.0,12475.0,-9.0,9423.0,0.02617794,0.38087982,0.0063876812,0.24117191,0.021153148,0.42777386,0.5,8353.5,1042.0,20843.0,472.0,12743.0,-87.0,9345.0,0.01250888,0.36721075,0.0027564182,0.23754065,0.002293863,0.4089146,28.0,8381.0,176.0,19977.0,37.0,12308.0,-186.0,9246.0,0.0,0.35470188,0.0,0.23478423,0.0,0.40662074,0.0,8353.0,0.0,19801.0,0.0,12271.0,0.0,9432.0,1,2.1674102017593757,112.84829736895516,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1009_0,0.013851983,0.3757426,0.02420446,0.24843937,0.015975937,0.41048658,-301.0,8275.0,47.5,19799.0,-597.0,11919.0,-270.5,8984.0,-0.02489777,0.3369929,-0.0060169585,0.21821795,-0.028111467,0.36639917,-49.0,8527.0,-1362.5,18389.0,-715.0,11801.0,-135.5,9119.0,-0.0077668102,0.35412383,0.0044718958,0.2287068,-0.012628985,0.38188165,-253.5,8322.5,-1145.5,18606.0,-836.5,11679.5,-380.0,8874.5,0.0,0.36189064,0.0,0.22423491,0.0,0.39451063,0.0,8576.0,0.0,19751.5,0.0,12516.0,0.0,9254.5,1,-1.4222576735822325,113.64061144954857,"{""type"":""MultiPoint"",""coordinates"":[]}"
