system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
1_1635_0,-0.0018858087,0.20090102,0.0122434255,0.108426176,-0.0025740433,0.26887757,-218.5,8140.5,-460.0,14128.0,-664.0,11364.0,-268.0,9401.0,-0.048699126,0.1540877,-0.030281229,0.06590152,-0.051478915,0.21997268,-75.5,8283.5,-1632.5,12955.5,-674.5,11353.5,-173.0,9496.0,0.04368756,0.24647439,0.05490989,0.15109263,0.046118665,0.31757027,-256.0,8103.0,1056.5,15644.5,-490.5,11537.5,-211.5,9457.5,0.0,0.20278682,0.0,0.09618275,0.0,0.2714516,0.0,8359.0,0.0,14588.0,0.0,12028.0,0.0,9669.0,1,62.92442545401275,116.68967318690706,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1636_0,0.05267499,0.20753644,0.050415803,0.09451601,0.022967156,0.24787042,48.0,8962.0,782.0,14869.0,-596.0,12301.0,-551.0,9758.0,0.066034704,0.22089615,0.08095121,0.12505141,-0.010933174,0.2139701,1270.0,10184.0,1641.5,15728.5,-665.0,12232.0,-272.0,10037.0,0.009435483,0.16429694,0.056193028,0.100293234,0.014300781,0.23920405,185.5,9099.5,734.5,14821.5,-777.5,12119.5,329.5,10638.5,0.0,0.15486145,0.0,0.044100206,0.0,0.22490327,0.0,8914.0,0.0,14087.0,0.0,12897.0,0.0,10309.0,1,64.77935668419114,118.83296362328782,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1637_0,0.04701522,0.2261417,0.042897157,0.11983207,0.03700981,0.2795645,102.5,8635.5,1339.5,15337.5,57.0,12055.0,-65.0,9680.0,0.028359314,0.2074858,0.038126495,0.11506141,0.020800458,0.26335517,16.5,8549.5,664.5,14662.5,-361.5,11636.5,-121.5,9623.5,0.014703486,0.19382997,0.0329328,0.109867714,-0.004408284,0.23814642,682.0,9215.0,978.0,14976.0,13.0,12011.0,368.0,10113.0,0.0,0.17912649,0.0,0.07693491,0.0,0.24255471,0.0,8533.0,0.0,13998.0,0.0,11998.0,0.0,9745.0,1,63.22841534615879,119.94840171157904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1638_0,-0.015466854,0.21906847,0.036284044,0.18604021,-0.0112325745,0.24987902,30.5,8525.5,-293.5,14205.5,-973.0,9749.0,110.0,9100.0,0.0054542627,0.23998958,0.039860945,0.1896171,0.0010505081,0.2621621,-149.5,8345.5,-223.0,14276.0,-997.0,9725.0,-240.0,8750.0,0.024850711,0.25938603,0.064231336,0.2139875,-0.017256998,0.2438546,564.0,9059.0,403.0,14902.0,-1073.5,9648.5,-226.5,8763.5,0.0,0.23453532,0.0,0.14975615,0.0,0.2611116,0.0,8495.0,0.0,14499.0,0.0,10722.0,0.0,8990.0,1,59.61503194731643,108.77731216438231,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1639_0,-0.010810994,0.18448201,-0.015711507,0.073063254,-0.009699691,0.23789611,121.5,9295.0,-113.0,15098.0,311.5,13042.0,154.5,10395.0,0.008257104,0.20355012,0.029643448,0.11841821,-0.015489794,0.23210602,503.5,9677.0,316.0,15527.0,-491.5,12239.0,34.5,10275.0,-0.015694398,0.17959861,0.0074546323,0.0962294,-0.002163257,0.24543256,-128.5,9045.0,-282.0,14929.0,-422.5,12308.0,142.5,10383.0,0.0,0.19529301,0.0,0.08877476,0.0,0.2475958,0.0,9173.5,0.0,15211.0,0.0,12730.5,0.0,10240.5,1,65.24073141411493,119.1830370895092,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1640_0,0.025655005,0.23306742,0.058428675,0.15537849,0.08587299,0.33722353,-679.0,8121.0,1676.0,16385.0,-131.0,11978.0,535.5,10191.0,0.055443626,0.26285604,0.05940084,0.15635066,0.08131034,0.33266088,-530.0,8270.0,1806.0,16515.0,-60.0,12049.0,-15.5,9640.0,0.053017657,0.26043007,0.05188343,0.14883325,0.07887991,0.33023044,-669.5,8130.5,1439.0,16148.0,-145.0,11964.0,-180.5,9475.0,0.0,0.20741242,0.0,0.09694981,0.0,0.25135055,0.0,8800.0,0.0,14709.0,0.0,12109.0,0.0,9655.5,1,65.07041083624587,119.3830020717542,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1641_0,0.0025831226,0.190666,0.0054179807,0.10428219,0.0015926032,0.2460783,129.0,8675.0,261.0,14338.0,86.0,11630.0,126.0,9746.0,-0.033886366,0.15419652,-0.033560757,0.06530346,-0.033470992,0.2110147,-43.5,8502.5,-1026.5,13050.5,-93.5,11450.5,-56.5,9563.5,-0.009592025,0.17849086,0.014767447,0.11363166,-0.018630741,0.22585496,-51.5,8494.5,-626.0,13451.0,-838.0,10706.0,-243.5,9376.5,0.0,0.18808287,0.0,0.09886421,0.0,0.2444857,0.0,8546.0,0.0,14077.0,0.0,11544.0,0.0,9620.0,1,62.96997003891761,117.27717138272122,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1642_0,0.072524555,0.2190012,0.06915195,0.13233775,0.062465567,0.26829484,-359.0,8224.0,1223.0,14255.0,-560.0,10923.0,-569.0,9133.0,0.091203816,0.23768046,0.08576789,0.14895369,-6.618136E-4,0.20516747,1538.0,10121.0,2314.0,15346.0,-116.0,11367.0,-250.0,9452.0,0.10740522,0.25388187,0.14407347,0.20725928,0.09787811,0.3037074,-216.0,8367.0,2634.0,15666.0,-1196.0,10287.0,-380.0,9322.0,0.0,0.14647664,0.0,0.0631858,0.0,0.20582929,0.0,8583.0,0.0,13032.0,0.0,11483.0,0.0,9702.0,1,61.14064079433661,102.67595475464252,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1643_0,-0.018072894,0.22188157,0.008059867,0.15797774,-0.024107017,0.26475656,-4.0,8109.0,-755.0,13949.0,-727.0,10143.0,-130.0,8883.0,-1.3019635E-4,0.23982427,4.927615E-4,0.15041065,-0.012423498,0.27644008,45.5,8158.5,-311.5,14392.5,-241.0,10629.0,-188.5,8824.5,-7.666194E-4,0.23918784,0.0077065257,0.15762441,-0.015752174,0.2731114,58.5,8171.5,-392.0,14312.0,-455.5,10414.5,-226.0,8787.0,0.0,0.23995446,0.0,0.14991789,0.0,0.28886357,0.0,8113.0,0.0,14704.0,0.0,10870.0,0.0,9013.0,1,58.827838263842494,98.21986178776763,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1644_0,-0.013864617,0.20830837,-0.012384665,0.10220441,-0.078237824,0.20623654,1503.0,9953.0,-44.0,15125.0,270.0,12320.0,256.0,9910.0,-0.011347459,0.21082553,0.0033232498,0.11791232,-0.042369965,0.2421044,777.0,9227.0,-47.0,15122.0,-118.0,11932.0,202.0,9856.0,-0.009035458,0.21313752,0.021592924,0.136182,-0.029238224,0.25523615,617.5,9067.5,113.5,15282.5,-431.0,11619.0,258.5,9912.5,0.0,0.22217299,0.0,0.11458907,0.0,0.28447437,0.0,8450.0,0.0,15169.0,0.0,12050.0,0.0,9654.0,1,63.1367871871786,115.65535296877184,"{""type"":""MultiPoint"",""coordinates"":[]}"
