system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,-0.01126939,0.35281226,-0.009187067,0.22203892,7.8206067E-4,0.39075583,-259.0,8113.0,-556.0,18520.0,-121.0,11790.0,-33.0,8860.0,-0.016976925,0.34710473,-0.022167673,0.20905833,-0.015040929,0.37493283,62.5,8434.5,-523.0,18553.0,226.0,12137.0,99.0,8992.0,0.0018561773,0.36593783,7.503824E-4,0.23197637,0.00878739,0.39876115,-121.5,8250.5,118.5,19194.5,55.0,11966.0,17.0,8910.0,0.007818005,0.37189966,0.003843326,0.23506932,0.018388676,0.40836245,-158.0,8214.0,477.0,19553.0,199.0,12110.0,59.0,8952.0,0.36408165,0.231226,0.38997376,8372.0,19076.0,11911.0,8893.0,1,-3.501138904091629,-64.90709711759294,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.22955659,0.35753357,0.19387595,0.2178374,0.15641524,0.40305793,-985.5,8130.5,4025.0,19110.0,-2105.5,12273.5,-2618.0,9044.0,0.23271586,0.36069283,0.199313,0.22327444,0.157889,0.4045317,-956.0,8160.0,4162.0,19247.0,-2158.0,12221.0,-2619.0,9043.0,0.21108964,0.3390666,0.17040277,0.1943642,0.14105913,0.38770184,-906.0,8210.0,3522.0,18607.0,-1828.0,12551.0,-2478.0,9184.0,0.24009904,0.36807603,0.20120835,0.22516981,0.16581027,0.41245297,-956.0,8160.0,4531.5,19616.5,-1973.0,12406.0,-2601.0,9061.0,0.12797697,0.023961445,0.2466427,9116.0,15085.0,14379.0,11662.0,1,-3.1179176038862413,-64.92757870607086,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,-0.07425592,0.28581488,-0.07499348,0.14941697,-0.050206415,0.35308066,561.5,8730.5,-950.5,18260.5,1344.0,13513.0,1103.5,10142.5,-0.033125773,0.32694504,-0.033269133,0.19114132,-0.023894912,0.37939215,70.5,8239.5,-897.5,18313.5,267.0,12436.0,250.0,9289.0,-0.0024727224,0.35759807,4.0268234E-4,0.22481313,2.2683837E-4,0.4035139,-21.0,8148.0,-39.0,19172.0,-35.0,12134.0,33.0,9072.0,0.0120483525,0.37211916,0.014478095,0.23888855,0.0145903,0.41787738,105.0,8274.0,942.0,20153.0,212.0,12381.0,183.0,9222.0,0.3600708,0.22441046,0.40328708,8169.0,19211.0,12169.0,9039.0,1,-3.199843957797942,-63.15349585146323,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.055012416,0.35570538,0.050491,0.2066849,0.048488494,0.4168941,-448.5,8171.5,1180.0,19856.0,-576.0,13054.0,-604.5,9436.5,0.045019716,0.3457127,0.053202055,0.20939595,0.024586407,0.39299205,-504.0,8116.0,-51.0,18625.0,-1454.5,12175.5,-985.5,9055.5,0.033670075,0.33436304,0.04346379,0.19965768,0.019915404,0.38832104,-436.5,8183.5,-102.0,18574.0,-1238.5,12391.5,-775.5,9265.5,0.032688897,0.33338186,0.042575657,0.19876955,0.014194864,0.3826005,-441.0,8179.0,-360.0,18316.0,-1388.0,12242.0,-884.0,9157.0,0.30069298,0.1561939,0.36840564,8620.0,18676.0,13630.0,10041.0,1,-3.584143236344273,-63.91508754933975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.042758055,0.37613678,0.03316608,0.21214387,0.047087718,0.43794742,295.0,8872.0,3114.0,22698.0,1115.0,14753.0,499.0,10290.0,0.06258951,0.39596823,0.048057586,0.22703537,0.07005545,0.46091515,-144.5,8432.5,3268.0,22852.0,757.5,14395.5,97.0,9888.0,0.049118042,0.38249677,0.051499847,0.23047763,0.05733753,0.44819722,-228.5,8348.5,2326.5,21910.5,64.5,13702.5,-4.5,9786.5,0.06677371,0.40015244,0.057226792,0.23620458,0.06958816,0.46044785,-433.0,8144.0,2460.0,22044.0,-18.0,13620.0,-347.0,9444.0,0.33337873,0.17897779,0.3908597,8577.0,19584.0,13638.0,9791.0,1,-3.636425185880029,-64.92650072772992,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,0.002311982,0.3519143,0.013674111,0.22317386,-0.002555835,0.38126683,309.5,8620.5,579.5,19244.5,23.0,12222.0,230.5,9225.5,-0.009525138,0.34007716,-0.0059498856,0.20354986,-0.010564222,0.37325844,168.5,8479.5,-85.5,18579.5,96.0,12295.0,154.5,9149.5,0.0018434036,0.3514457,0.013567308,0.22306705,-0.0030489957,0.38077366,21.0,8332.0,-86.0,18579.0,-397.0,11802.0,-79.0,8916.0,-5.5712083E-4,0.3490452,0.0060220556,0.2155218,7.9851504E-4,0.38462117,-132.0,8179.0,-262.0,18403.0,-322.0,11877.0,-115.0,8880.0,0.3496023,0.20949975,0.38382265,8311.0,18665.0,12199.0,8995.0,1,-4.173527894255091,-63.50168285558795,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.0027753103,0.37071502,0.010965284,0.23520264,0.016530296,0.41121137,-119.5,8450.0,508.5,20253.0,28.5,12540.0,175.0,9298.0,0.021172766,0.3891125,0.027214574,0.25145194,0.023453891,0.41813496,-214.5,8355.0,618.5,20363.0,-331.5,12180.0,-168.0,8955.0,3.7862512E-4,0.36831835,-0.0042417007,0.21999565,0.00769741,0.4023785,-202.5,8367.0,-110.5,19634.0,41.5,12553.0,-59.0,9064.0,-0.009051335,0.3588884,0.002906264,0.22714362,-1.9672782E-4,0.39448434,-34.0,8535.5,-87.5,19657.0,-131.5,12380.0,151.0,9274.0,0.3679397,0.22423735,0.39468107,8569.5,19744.5,12511.5,9123.0,1,-4.080013273178249,-63.182062277498225,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.032673206,0.35931885,0.040581822,0.21605843,0.026669884,0.40851894,-192.0,8179.0,764.0,19477.0,-570.0,12556.0,-318.0,9180.0,0.020034017,0.34667966,0.036292482,0.2117691,0.010509265,0.39235833,-224.5,8146.5,-46.0,18667.0,-983.5,12142.5,-442.0,9056.0,0.022686422,0.34933206,0.038658485,0.2141351,0.027786048,0.4096351,-111.5,8259.5,1008.5,19721.5,-361.0,12765.0,12.0,9510.0,0.023194456,0.3498401,0.036397602,0.21187422,0.017983323,0.3998324,43.5,8414.5,913.0,19626.0,-362.5,12763.5,-45.0,9453.0,0.32664564,0.17547661,0.38184905,8371.0,18713.0,13126.0,9498.0,1,-4.252489807729197,-63.09178159144421,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.12501286,0.3647457,0.09444425,0.22471198,0.10449998,0.40897176,-668.0,8116.0,2873.5,19348.0,-429.0,12248.0,-1097.0,9006.0,0.118255205,0.35798806,0.08888558,0.21915331,0.09534619,0.39981794,-542.0,8242.0,2748.5,19223.0,-365.0,12312.0,-1015.0,9088.0,0.11357462,0.3533075,0.09003644,0.22030418,0.09535893,0.3998307,-631.0,8153.0,2541.5,19016.0,-527.0,12150.0,-1016.0,9087.0,0.114412926,0.3541458,0.08923187,0.21949962,0.09711792,0.4015897,-709.5,8074.5,2437.5,18912.0,-573.0,12104.0,-1083.0,9020.0,0.23973286,0.13026774,0.30447176,8784.0,16474.5,12677.0,10103.0,1,-3.270721033714972,-64.78178213545827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,0.24531242,0.33859017,0.12488803,0.20011154,0.43179056,0.37911147,-2256.0,8235.0,8850.5,18291.5,4071.5,12191.5,1208.0,9038.0,0.24977653,0.34305426,0.12967727,0.20490077,0.43460906,0.38192996,-2046.0,8445.0,9441.0,18882.0,4340.0,12460.0,1406.0,9236.0,0.21002512,0.30330285,0.091943204,0.16716671,0.39761165,0.34493256,-1775.0,8716.0,8454.0,17895.0,4649.0,12769.0,1736.0,9566.0,0.13913128,0.23240903,0.048849948,0.12407345,0.29656848,0.24388938,-1319.0,9172.0,5648.0,15089.0,3638.0,11758.0,1568.0,9398.0,0.09327775,0.075223505,-0.05267911,10491.0,9441.0,8120.0,7830.0,1,-3.8110576771128644,-63.444550003517946,"{""type"":""MultiPoint"",""coordinates"":[]}"
