system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,0.07820739,0.31572336,0.0886626,0.17906027,0.05402494,0.39779434,-419.0,8573.0,1486.0,19899.0,-1505.0,13855.0,-996.0,10349.0,0.0971474,0.33466336,0.0885731,0.17897075,0.06351363,0.407283,-609.5,8382.5,1489.5,19902.5,-1500.0,13860.0,-1423.5,9921.5,0.10799988,0.34551585,0.11024015,0.2006378,0.07035485,0.41412422,-725.0,8267.0,1541.0,19954.0,-2075.0,13285.0,-1639.0,9706.0,0.07793905,0.31545502,0.07934892,0.16974658,0.034253165,0.37802255,-606.5,8385.5,165.5,18578.5,-2173.5,13186.5,-1677.0,9668.0,0.23751596,0.090397656,0.34376937,8992.0,18413.0,15360.0,11345.0,1,-0.12194629981922506,21.64593983343661,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.010215241,0.33939728,0.0042790673,0.20314279,0.0011166361,0.38059703,-130.0,8175.5,-241.5,18222.5,-269.5,12069.0,-331.0,8987.5,-0.0045580072,0.32462403,0.0040608128,0.20292453,-0.020484041,0.35899633,-79.5,8226.0,-1024.0,17440.0,-782.5,11556.0,-426.5,8892.0,0.0035840995,0.33276615,-0.0039363536,0.19492738,0.010390231,0.3898706,-53.5,8252.0,334.0,18798.0,326.5,12665.0,92.5,9411.0,-0.014538689,0.31464335,-0.010208036,0.18865569,-0.009902655,0.36957774,-87.0,8218.5,-609.5,17854.5,-151.5,12187.0,-10.5,9308.0,0.32918203,0.19886373,0.3794804,8305.5,18464.0,12338.5,9318.5,1,-0.6943527988601842,21.587190013855192,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,0.04052437,0.34982643,0.030532021,0.19226119,0.027561972,0.41325825,-300.0,8596.5,638.0,20706.0,-452.5,14028.0,-613.0,9973.5,0.050259203,0.35956126,0.04209166,0.20382082,0.034202885,0.41989917,-439.5,8457.0,632.0,20700.0,-790.0,13690.5,-835.5,9751.0,0.051739488,0.36104155,0.043999262,0.20572843,0.038517125,0.4242134,-327.5,8569.0,1127.5,21195.5,-518.0,13962.5,-636.0,9950.5,0.029574858,0.33887693,0.032367907,0.19409707,0.009766795,0.39546308,-282.0,8614.5,-183.0,19885.0,-1060.0,13420.5,-767.5,9819.0,0.30930206,0.16172916,0.3856963,8896.5,20068.0,14480.5,10586.5,1,-0.7921793333008001,22.84977214568518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.042255033,0.32746655,0.047192145,0.1955429,0.019087346,0.3709817,-219.5,8184.0,308.5,17837.5,-997.5,12002.5,-712.0,9037.0,0.028857382,0.3140689,0.043674145,0.19202489,0.001116471,0.3530108,-205.5,8198.0,-385.0,17144.0,-1379.5,11620.5,-800.0,8949.0,0.037673768,0.3228853,0.05657339,0.20492414,0.016265629,0.36815998,-188.0,8215.5,260.5,17789.5,-1261.5,11738.5,-643.5,9105.5,0.029100683,0.31431222,0.030309778,0.17866053,0.033831764,0.3857261,-235.5,8168.0,897.0,18426.0,-160.0,12840.0,-136.0,9613.0,0.28521153,0.14835075,0.35189435,8403.5,17529.0,13000.0,9749.0,1,0.9048280699293881,22.063656440552187,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.038153514,0.3094612,0.048846394,0.18007074,0.023456259,0.36306518,-367.0,8262.0,177.0,17681.0,-1158.0,12285.0,-709.0,9324.0,0.049558338,0.32086605,0.05366923,0.18489358,0.034242854,0.37385178,-364.0,8265.0,630.5,18134.5,-968.0,12475.0,-709.0,9324.0,0.035642788,0.30695048,0.045363232,0.17658758,0.036494166,0.3761031,-180.5,8448.5,1130.5,18634.5,-402.0,13041.0,-151.5,9881.5,0.021981722,0.29328942,0.023829067,0.15505342,0.018596912,0.35820583,-187.0,8442.0,361.5,17865.5,-374.0,13069.0,-270.5,9762.5,0.2713077,0.13122435,0.33960894,8629.0,17504.0,13443.0,10033.0,1,-0.7972997304202813,21.26137106030504,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,0.080587186,0.3391548,0.09021625,0.20321724,0.054665327,0.39918116,-261.5,8511.5,1826.5,19821.5,-1215.0,13126.0,-819.5,9781.5,0.10433393,0.36290157,0.09745258,0.21045357,0.09000588,0.43452173,-315.0,8458.0,3461.5,21456.5,-345.5,13995.5,-571.0,10030.0,0.08867712,0.34724474,0.096856244,0.20985723,0.066155024,0.41067088,-533.0,8240.0,1729.0,19724.0,-1459.5,12881.5,-1044.5,9556.5,0.10029953,0.35886717,0.10207287,0.21507387,0.0682716,0.41278744,-397.0,8376.0,2157.0,20152.0,-1323.0,13018.0,-1093.0,9508.0,0.25856763,0.11300099,0.34451583,8773.0,17995.0,14341.0,10601.0,1,0.33188258171795726,21.21663495915589,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.0200909,0.2984747,0.025721766,0.17510727,0.009340153,0.33505145,-39.0,8321.0,270.0,16706.5,-436.5,11727.5,-252.0,9026.0,0.045607764,0.32399157,0.045481883,0.19486739,0.04279514,0.36850643,-185.0,8175.0,1279.5,17716.0,-226.5,11937.5,-232.5,9045.5,0.035858545,0.31424233,0.03691756,0.18630306,0.03008354,0.35579482,-133.5,8226.5,877.0,17313.5,-288.5,11875.5,-244.0,9034.0,0.06954557,0.34792936,0.068303265,0.21768877,0.07141995,0.39713123,88.0,8448.0,3141.5,19578.0,414.0,12578.0,193.0,9471.0,0.2783838,0.1493855,0.32571128,8360.0,16436.5,12164.0,9278.0,1,0.533195036889142,22.718797777260555,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.08030875,0.34010223,0.074967496,0.19760329,0.053705238,0.39193046,-342.5,8360.5,1539.0,19138.0,-931.5,12822.5,-916.5,9424.0,0.08378348,0.34357697,0.07724972,0.19988552,0.056997195,0.39522243,-525.5,8177.5,1266.5,18865.5,-1174.0,12580.0,-1123.5,9217.0,0.07873277,0.33852625,0.07438656,0.19702235,0.057262763,0.395488,-570.5,8132.5,1174.5,18773.5,-1160.5,12593.5,-1063.0,9277.5,0.050086565,0.30988005,0.054940764,0.17757656,0.031165183,0.3693904,-468.5,8234.5,282.5,17881.5,-1265.5,12488.5,-919.5,9421.0,0.2597935,0.12263579,0.33822522,8703.0,17599.0,13754.0,10340.5,1,-0.24294936859012461,21.607671602333117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.011319847,0.33969346,0.027740737,0.20589386,0.01752387,0.38915616,-73.0,8475.0,614.5,19273.5,-324.0,12692.0,65.5,9499.5,0.022943493,0.3513171,0.0395236,0.21767671,0.023962509,0.3955948,-233.5,8314.5,539.5,19198.5,-681.5,12334.5,-218.0,9216.0,0.026987677,0.35536128,0.043827586,0.2219807,0.036052663,0.40768495,-328.0,8220.0,876.5,19535.5,-578.0,12438.0,-142.5,9291.5,0.037987113,0.36636072,0.05577988,0.233933,0.02960843,0.40124074,-151.0,8397.0,992.0,19651.0,-816.0,12200.0,-321.0,9113.0,0.3283736,0.17815311,0.3716323,8548.0,18659.0,13016.0,9434.0,1,-0.677913629160797,21.433039111100282,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,0.016840082,0.3098906,0.016867122,0.19277565,0.022821322,0.35311827,1.0,8272.0,873.5,17303.0,196.0,11710.0,133.5,9116.0,0.023145242,0.31619576,0.019366454,0.19527498,0.023522321,0.35381928,-133.0,8138.0,620.5,17050.0,-35.0,11479.0,-124.5,8858.0,0.015695151,0.30874568,0.019146856,0.19505538,0.014113373,0.34441033,-103.5,8167.5,319.5,16749.0,-232.5,11281.5,-136.0,8846.5,0.016146824,0.30919734,0.013205023,0.18911356,0.020682734,0.3509797,-106.0,8165.0,566.5,16996.0,76.0,11590.0,-14.5,8968.0,0.29305053,0.17590854,0.33029696,8271.0,16429.5,11514.0,8982.5,1,0.7493296942482989,22.45900499709319,"{""type"":""MultiPoint"",""coordinates"":[]}"
