system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
1_1000_0,0.037245993,0.18315347,0.06393558,0.15139337,-0.100440174,0.083333336,3190.0,12848.0,1177.0,15184.0,-563.0,11191.0,43.0,10483.0,0.04202141,0.18792889,0.02589455,0.113352336,0.07271659,0.25649008,-643.5,9014.5,1227.0,15234.0,378.0,12132.0,-26.0,10414.0,0.07257677,0.21848424,0.03450584,0.12196363,0.046925206,0.23069872,-7.5,9650.5,1431.5,15438.5,328.0,12082.0,-538.0,9902.0,-0.012360824,0.13354665,-0.072338834,0.015118954,0.0326906,0.2164641,-987.0,8671.0,-545.0,13462.0,1307.0,13061.0,-150.0,10290.0,1,63.46664855950729,112.71867047345671,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1001_0,0.055044595,0.19686148,0.0017460004,0.0919372,0.056300372,0.2567446,-408.0,8051.5,913.0,13614.0,722.0,11321.5,-410.5,9135.5,0.033873387,0.17569026,0.024140183,0.11433138,0.015263021,0.21570724,-26.0,8433.5,371.5,13072.5,-209.5,10390.0,-380.5,9165.5,0.06031823,0.2021351,0.07676569,0.16695689,0.056118477,0.2565627,-331.5,8128.0,1037.0,13738.0,-792.5,9807.0,-428.0,9118.0,0.044573404,0.18639028,0.011673996,0.101865195,0.027843561,0.22828779,188.5,8648.0,1063.5,13764.5,620.0,11219.5,-106.5,9439.5,1,61.891722203388944,118.60982210671253,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1002_0,0.011910844,0.1888497,0.022808194,0.12630157,-0.015914597,0.2107555,-1020.5,8020.5,-2037.0,12304.0,-2106.5,9544.5,-1634.0,8395.0,0.024209214,0.20114808,0.06105203,0.16454542,-0.007101963,0.21956812,-873.0,8168.0,-1577.0,12764.0,-2494.0,9157.0,-1540.0,8489.0,-0.018551152,0.1583877,0.025082441,0.12857582,-0.046800863,0.17986922,-1390.0,7651.0,-3334.0,11007.0,-3152.0,8499.0,-2032.0,7997.0,-0.012057652,0.16488121,-0.005575594,0.09791779,-0.03139919,0.1952709,-805.0,8236.0,-2108.0,12233.0,-1600.0,10051.0,-1259.0,8770.0,1,59.68644801240393,112.72783328935473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1003_0,0.16806099,0.232811,0.09716244,0.18364997,0.13736828,0.2580053,-844.0,9095.0,2754.0,15420.0,-14.5,10635.0,-1529.5,9596.0,0.18358321,0.24833323,0.074254185,0.16074172,0.18350713,0.30414414,-1472.0,8467.0,3202.5,15868.5,824.0,11473.5,-1570.5,9555.0,0.18478198,0.249532,0.05481049,0.14129803,0.18218689,0.30282393,-1545.0,8394.0,3020.0,15686.0,1152.5,11802.0,-1704.5,9421.0,0.16082595,0.22557597,0.057641935,0.14412947,0.1660545,0.28669152,-1571.0,8368.0,2428.5,15094.5,642.0,11291.5,-1587.5,9538.0,1,59.663001983488414,108.21406848123937,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1004_0,0.09420202,0.1563547,0.04106243,0.08607161,0.061350975,0.21061978,47.5,8890.0,1688.5,13634.0,556.5,11473.0,-600.5,9947.0,0.11100088,0.17315355,0.025743956,0.07075314,0.08332828,0.23259708,-365.0,8477.5,1671.0,13616.5,900.5,11817.0,-950.5,9597.0,0.16722013,0.2293728,0.08655788,0.13156706,0.1465981,0.2958669,-673.5,8169.0,3088.5,15034.0,621.5,11538.0,-1123.5,9424.0,0.1206336,0.18278627,0.030806517,0.0758157,0.1047381,0.2540069,-418.0,8424.5,2216.0,14161.5,1249.0,12165.5,-763.0,9784.5,1,63.064293143750156,117.0613062199473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1005_0,0.06968724,0.2582482,0.035851926,0.2175998,0.080577865,0.26772654,-533.0,8360.0,1485.0,14473.0,307.0,9300.0,-335.0,8532.0,0.081161566,0.26972255,0.078737825,0.2604857,0.096191995,0.28334066,-741.0,8152.0,1610.0,14598.0,-428.5,8564.5,-471.0,8396.0,0.05070738,0.23926835,-0.046106663,0.1356412,0.07558063,0.2627293,-111.0,8782.0,2053.0,15041.0,2455.0,11448.0,366.0,9233.0,0.055803996,0.24436496,0.001688292,0.18343617,0.086019576,0.27316824,-352.0,8541.0,1973.0,14961.0,1330.0,10323.0,218.0,9085.0,1,56.46733519176163,104.44006630959643,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1006_0,0.22693285,0.24754718,0.17071964,0.14751956,0.19160965,0.31232834,-762.0,8512.0,4423.5,16244.0,-314.5,12067.5,-1545.5,9797.5,0.21532534,0.23593967,0.14091583,0.11771574,0.16557148,0.28629017,-510.0,8764.0,3974.5,15795.0,86.0,12468.0,-1578.5,9764.5,0.22924244,0.24985677,0.15363637,0.13043629,0.18314411,0.30386278,-538.0,8736.0,4542.0,16362.5,204.5,12586.5,-1522.5,9820.5,0.19446804,0.21508236,0.13071764,0.10751755,0.15715419,0.27787286,-624.0,8650.0,3486.5,15307.0,-47.0,12335.0,-1455.0,9888.0,1,63.00931624836204,119.21968835310128,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1007_0,0.059263915,0.19015491,0.05966023,0.08930014,0.06672979,0.26517114,-212.0,8222.0,1546.0,14156.0,-49.0,11835.0,-58.5,9632.5,0.018292952,0.14918394,0.017550377,0.04719029,0.022364637,0.220806,-120.0,8314.0,416.0,13026.0,-32.0,11852.0,-47.0,9644.0,0.014285068,0.14517605,0.05656052,0.08620043,0.045241684,0.24368304,-68.0,8366.0,1147.0,13757.0,-310.5,11573.5,578.0,10269.0,-0.010866308,0.12002468,-0.022186102,0.00745381,-0.022596845,0.17584452,471.0,8905.0,95.0,12705.0,633.0,12517.0,291.0,9982.0,1,65.52127527734545,118.16030513853913,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1008_0,0.1873579,0.2552501,0.112122454,0.13037047,0.15094002,0.31705716,-277.0,8322.0,4024.0,16049.0,753.0,12347.0,-974.0,9522.0,0.19737072,0.2652629,0.12781195,0.14605998,0.15713815,0.3232553,-194.0,8405.0,4409.5,16434.5,651.5,12245.5,-952.5,9543.5,0.18197155,0.24986374,0.12664695,0.14489497,0.15102407,0.3171412,-277.0,8322.0,4027.0,16052.0,395.0,11989.0,-862.0,9634.0,0.17103541,0.2389276,0.103237316,0.12148534,0.13198952,0.29810667,-91.0,8508.0,3710.0,15735.0,732.0,12326.0,-830.0,9666.0,1,63.11495812577449,118.90437968837533,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1009_0,0.1348591,0.20562463,0.079191975,0.10373134,0.00855427,0.20801258,1420.5,9696.5,2390.0,14790.0,204.0,12010.0,-1016.0,9745.0,0.111641355,0.18240686,0.05157712,0.07611649,0.037673235,0.23713155,394.0,8670.0,1660.0,14060.0,265.0,12071.0,-1039.0,9722.0,0.045709845,0.11647535,0.0092615755,0.033800945,0.023036031,0.22249433,137.0,8413.0,828.0,13228.0,557.0,12363.0,-293.0,10468.0,0.09834141,0.16910693,0.034838013,0.059377383,0.042567957,0.24202627,410.0,8686.0,1833.0,14233.0,831.5,12637.5,-645.5,10115.5,1,65.4539016310365,118.4381540559173,"{""type"":""MultiPoint"",""coordinates"":[]}"
