system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
1_1000_0,0.027988559,0.2605553,0.05478155,0.16787353,-0.03569463,0.29904452,4166.0,13315.0,6320.0,24676.0,2956.0,17582.0,3046.0,14475.0,0.117053725,0.34962046,0.09032855,0.20342053,0.07033422,0.40507334,-360.0,8789.0,2401.5,20757.5,-886.0,13740.0,-1426.0,10003.0,0.14090592,0.37347266,0.11387056,0.22696255,0.10637121,0.44111034,-572.0,8577.0,3760.0,22116.0,-692.0,13934.0,-1340.5,10088.5,0.18139495,0.41396168,0.1362641,0.24935609,0.13830908,0.4730482,-820.0,8329.0,4927.0,23283.0,-637.0,13989.0,-1779.0,9650.0,1,0.767924820629573,114.47146325583073,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1001_0,-0.01699609,0.3230723,5.5499485E-4,0.21609528,-0.0396552,0.36731297,123.0,8174.0,-1436.0,17665.0,-940.0,11387.0,-368.5,9038.0,0.030667558,0.37073597,0.037656568,0.25319684,0.018664846,0.425633,-134.5,7916.5,548.5,19649.5,-617.5,11709.5,-386.0,9020.5,0.03245751,0.3725259,0.031224415,0.24676469,0.01224329,0.41921148,51.0,8102.0,697.0,19798.0,-366.0,11961.0,-355.5,9051.0,0.0021087471,0.34217715,0.006244921,0.2217852,-0.009889678,0.3970785,59.5,8110.5,-307.5,18793.5,-356.5,11970.5,-195.5,9211.0,1,3.1613062321092142,113.97586271358198,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1002_0,0.047380887,0.36969316,0.062613234,0.2330704,0.040333323,0.4011974,-1282.0,8851.5,-864.0,20712.5,-2409.5,12882.5,-1526.5,9531.5,0.048764013,0.3710763,0.059423476,0.22988065,0.038611535,0.3994756,-1544.5,8589.0,-1560.5,20016.0,-2758.5,12533.5,-1876.5,9181.5,0.05203301,0.3743453,0.06569479,0.23615195,0.058586344,0.41945043,-1709.0,8424.5,-978.5,20598.0,-2564.0,12728.0,-1681.0,9377.0,0.07255689,0.39486918,0.06359021,0.23404738,0.06277609,0.42364016,-1317.5,8816.0,199.5,21776.0,-1776.0,13516.0,-1611.0,9447.0,1,1.5249351105570939,109.87873653424126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1003_0,0.26720187,0.38096052,0.24354759,0.24420182,0.22705057,0.41964316,-1073.5,8246.0,6405.5,20171.0,-1494.5,12253.0,-1911.5,9042.0,0.26221427,0.37597293,0.23053426,0.23118849,0.23027974,0.42287233,-1073.5,8246.0,6564.5,20330.0,-1052.5,12695.0,-1733.5,9220.0,0.2574854,0.37124404,0.23473689,0.23539113,0.21801637,0.41060898,-1025.0,8294.5,6086.0,19851.5,-1461.0,12286.5,-1851.0,9102.5,0.24544297,0.3592016,0.22776672,0.22842096,0.21565036,0.40824294,-1135.5,8184.0,5710.5,19476.0,-1514.5,12233.0,-1771.5,9182.0,1,-2.6091118269609446,113.31128906639036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1004_0,0.011059114,0.38346252,0.03174736,0.24845517,-0.003026054,0.43226886,54.0,8489.0,-23.0,21416.0,-910.0,12892.0,-260.0,9544.0,-0.0054465486,0.36695686,0.01156218,0.22827,-0.02053277,0.41476214,41.0,8476.0,-949.0,20490.0,-928.0,12874.0,-315.0,9489.0,-0.05766975,0.31473365,-1.0903581E-4,0.21659878,-0.0854796,0.3498153,-558.5,7876.5,-5087.0,16352.0,-3272.5,10529.5,-1281.0,8523.0,-0.051643733,0.32075968,-0.008246737,0.20846108,-0.054996416,0.3802985,1696.5,10131.5,1127.5,22566.5,979.0,14781.0,1801.5,11605.5,1,0.5321170585481986,110.07331162478154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1005_0,0.1644548,0.3921716,0.16069391,0.23546027,0.20044631,0.4410746,-2922.0,8270.0,3037.5,21322.5,-2546.0,13195.0,-2192.5,9309.5,0.13367796,0.36139476,0.13784404,0.2126104,0.17353587,0.41416416,-2603.5,8588.5,2447.0,20732.0,-2279.0,13462.0,-1777.0,9725.0,0.12831177,0.35602856,0.13571337,0.21047974,0.17261963,0.4132479,-2675.0,8517.0,2229.0,20514.0,-2361.0,13380.0,-1760.0,9742.0,0.06602616,0.29374295,0.08156148,0.15632784,0.07188223,0.31251052,-979.0,10213.0,1213.0,19498.0,-1515.0,14226.0,-858.0,10644.0,1,1.6489026197655878,111.81775007501324,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1006_0,0.19152594,0.36806017,0.19125368,0.22319351,0.12927267,0.4251984,-1055.5,8691.0,3609.5,21549.0,-3144.0,13685.0,-2602.0,9954.0,0.1912763,0.36781055,0.18126394,0.21320377,0.1315408,0.42746654,-1233.5,8513.0,3285.5,21225.0,-3064.0,13765.0,-2746.0,9810.0,0.21127969,0.38781393,0.18490204,0.21684188,0.15362906,0.4495548,-1153.5,8593.0,4689.5,22629.0,-2265.0,14564.0,-2574.0,9982.0,0.2096445,0.38617873,0.19872296,0.2306628,0.1569624,0.45288813,-1373.5,8373.0,4295.5,22235.0,-2929.0,13900.0,-2710.0,9846.0,1,0.7857114632551395,114.27958311114278,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1007_0,0.0018163502,0.39541465,0.016733706,0.26313093,0.0010160832,0.44179326,38.5,8112.0,152.0,20952.5,-353.5,12223.0,27.0,9078.0,0.0022535352,0.39585185,0.009618834,0.25601605,0.0022305262,0.4430077,-40.0,8033.5,12.0,20812.5,-248.5,12328.0,-43.0,9008.0,-0.011514094,0.38208422,0.016802842,0.26320007,-0.022912925,0.41786423,342.0,8415.5,-303.5,20497.0,-621.0,11955.5,113.0,9164.0,-0.0041857916,0.38941252,0.014656316,0.26105353,-0.0024837619,0.4382934,-42.5,8031.0,-236.5,20564.0,-526.5,12050.0,-14.0,9037.0,1,4.943473924273933,115.59579466543471,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1008_0,0.068631545,0.3620176,0.08615654,0.23447472,0.079972364,0.4107788,-1220.0,8402.0,982.0,20117.0,-1717.0,12475.0,-1031.0,9423.0,0.08749376,0.38087982,0.09285374,0.24117191,0.096967466,0.42777386,-1268.5,8353.5,1708.0,20843.0,-1449.0,12743.0,-1109.0,9345.0,0.0738247,0.36721075,0.089222476,0.23754065,0.07810818,0.4089146,-1241.0,8381.0,842.0,19977.0,-1884.0,12308.0,-1208.0,9246.0,0.061315823,0.35470188,0.08646605,0.23478423,0.075814314,0.40662074,-1269.0,8353.0,666.0,19801.0,-1921.0,12271.0,-1022.0,9432.0,1,2.1674102017593757,112.84829736895516,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1009_0,0.25970447,0.3757426,0.26397395,0.24843937,0.21797666,0.41048658,-4856.0,8275.0,407.0,19799.0,-8085.0,11919.0,-6375.5,8984.0,0.22095472,0.3369929,0.23375252,0.21821795,0.17388925,0.36639917,-4604.0,8527.0,-1003.0,18389.0,-8203.0,11801.0,-6240.5,9119.0,0.23808567,0.35412383,0.24424137,0.2287068,0.18937173,0.38188165,-4808.5,8322.5,-786.0,18606.0,-8324.5,11679.5,-6485.0,8874.5,0.24585249,0.36189064,0.23976949,0.22423491,0.20200072,0.39451063,-4555.0,8576.0,359.5,19751.5,-7488.0,12516.0,-6105.0,9254.5,1,-1.4222576735822325,113.64061144954857,"{""type"":""MultiPoint"",""coordinates"":[]}"
