system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
1_1453_0,0.06329054,0.39541686,0.05794183,0.250182,0.049114734,0.45190746,-354.5,8103.0,1599.0,21465.0,-585.5,12874.0,-660.0,9300.0,0.06306411,0.39519045,0.06076384,0.253004,0.043881185,0.44667393,-191.5,8266.0,1745.5,21611.5,-575.5,12884.0,-591.5,9368.5,0.055815566,0.3879419,0.05688682,0.249127,0.033101182,0.43589392,-236.5,8221.0,1060.0,20926.0,-880.5,12579.0,-732.0,9228.0,0.03532448,0.3674508,0.04256088,0.23480105,0.020621205,0.42341393,31.0,8488.5,1089.5,20955.5,-473.5,12986.0,-266.5,9693.5,1,-5.67865515279735,-55.77823753731354,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1454_0,0.058756262,0.38015524,0.07491223,0.24169551,0.06185646,0.42941034,-321.0,8162.0,2104.0,20447.0,-612.0,12487.0,-237.0,9183.0,0.039011747,0.36041072,0.05618008,0.22296336,0.03826404,0.4058179,-307.5,8175.5,1000.0,19343.0,-809.0,12290.0,-326.0,9094.0,0.052150253,0.37354925,0.07447908,0.24126236,0.052324723,0.4198786,-408.0,8075.0,1421.0,19764.0,-1018.0,12081.0,-406.0,9014.0,0.040169314,0.3615683,0.05957955,0.22636284,0.039037954,0.40659183,-264.0,8219.0,1139.0,19482.0,-809.0,12290.0,-285.0,9135.0,1,-9.106626276997444,-61.00319855586633,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1455_0,0.0305465,0.27891108,0.019173773,0.12985618,0.023147076,0.34557953,-134.0,8568.0,633.0,17617.0,-31.5,13567.5,-293.0,9933.0,-0.038740262,0.2096243,-0.04571568,0.06496672,-0.031458013,0.29097444,175.0,8877.0,-821.0,16163.0,592.0,14191.0,335.0,10561.0,-0.0010424177,0.24732216,-0.008060535,0.10262187,-1.9282936E-4,0.32223964,-47.0,8655.0,-99.0,16885.0,143.0,13742.0,-37.0,10189.0,0.02829823,0.2766628,0.013791111,0.12447352,0.016765723,0.33919817,-7.5,8694.5,636.5,17620.5,120.5,13719.5,-242.5,9983.5,1,-14.62291094219019,-60.46501786915032,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1456_0,0.28006774,0.2909804,0.28782856,0.17232293,0.21418084,0.33799383,-1498.0,8144.0,4093.0,16460.0,-3976.0,11621.0,-3060.0,9040.0,0.28844804,0.2993607,0.28116086,0.16565523,0.23214683,0.3559598,-1340.0,8302.0,5112.0,17479.0,-3086.0,12511.0,-2675.0,9425.0,0.31895953,0.3298722,0.30595088,0.19044524,0.25709632,0.3809093,-1431.0,8211.0,5948.0,18315.0,-3142.0,12455.0,-2871.0,9229.0,0.3052106,0.31612325,0.31599563,0.20049,0.24035065,0.36416364,-1420.0,8222.0,5273.0,17640.0,-3849.0,11748.0,-2934.0,9166.0,1,-14.379557331722213,-64.2762102935558,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1457_0,0.20700783,0.32412326,0.17510931,0.19051357,0.14124945,0.3660676,-1469.0,8095.0,2332.5,17444.0,-2792.0,11861.0,-3039.0,8904.0,0.19446264,0.3115781,0.17636766,0.19177192,0.12803037,0.3528485,-1450.5,8113.5,1849.5,16961.0,-3150.5,11502.5,-3040.5,8902.5,0.18472037,0.30183583,0.16957618,0.18498044,0.120223016,0.34504116,-1527.0,8037.0,1393.5,16505.0,-3301.0,11352.0,-3091.5,8851.5,0.21041055,0.327526,0.19012962,0.20553388,0.1339407,0.35875884,-1401.0,8163.0,2185.5,17297.0,-3254.0,11399.0,-3181.0,8762.0,1,-7.293466707530602,-59.5088510807335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1458_0,0.035711348,0.35250646,0.03815127,0.21092385,0.027041646,0.4114009,-231.0,8090.0,688.0,19399.0,-557.0,12641.0,-421.0,9287.0,0.027851474,0.34464657,0.037669756,0.21044233,0.0170901,0.40144938,21.0,8342.0,821.0,19532.0,-457.5,12740.5,-188.5,9519.5,0.004977401,0.32177252,0.00468865,0.17746122,0.0038619656,0.38822123,-125.0,8196.0,-113.0,18598.0,-206.0,12992.0,-165.0,9543.0,0.0018420288,0.31863713,0.005728952,0.17850153,0.0036457106,0.388005,-224.0,8097.0,-347.0,18364.0,-397.0,12801.0,-219.0,9489.0,1,-10.217213462754408,-59.84167689349978,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1459_0,0.3004963,0.38158607,0.32431674,0.2253262,0.29277912,0.4481836,-4051.0,8248.0,4821.0,21646.0,-6837.0,13685.0,-4612.0,9689.0,0.29275453,0.3738443,0.32029632,0.22130576,0.28089583,0.4363003,-4047.0,8252.0,4201.0,21026.0,-7116.0,13406.0,-4718.0,9583.0,0.25884256,0.33993232,0.3011531,0.20216255,0.2397682,0.3951727,-4274.0,8025.0,1686.5,18511.5,-8236.5,12285.5,-5182.0,9119.0,0.29221007,0.37329984,0.3167138,0.21772328,0.28124887,0.43665335,-4044.0,8255.0,4227.0,21052.0,-6998.0,13524.0,-4694.0,9607.0,1,-2.7201435960781173,-54.983498005453,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1460_0,0.03532006,0.35431072,0.029942013,0.2165922,0.020355007,0.408054,-613.5,8070.0,-484.0,19196.0,-1128.0,12361.0,-1009.0,9152.0,0.032510113,0.35150075,0.026120508,0.2127707,0.01665349,0.40435246,-595.5,8088.0,-611.0,19069.0,-1111.0,12378.0,-1011.0,9150.0,0.045226157,0.3642168,0.045724977,0.23237516,0.024340386,0.41203937,-498.5,8185.0,-23.0,19657.0,-1245.0,12244.0,-1000.0,9161.0,0.021733504,0.34072414,0.014249878,0.20090006,-6.410864E-4,0.3870579,-547.0,8136.5,-1267.5,18412.5,-1237.0,12252.0,-1107.0,9054.0,1,-14.529126826528111,-67.18136192239834,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1461_0,0.014438835,0.3321289,0.017593978,0.21014202,0.017980145,0.3871079,-240.0,7982.0,221.5,18065.0,-290.5,11791.0,-182.5,9057.0,0.018116446,0.33580652,0.011352643,0.20390068,0.021004887,0.39013267,-165.5,8056.5,520.5,18364.0,62.0,12143.5,-108.5,9131.0,0.027098268,0.34478834,0.020415224,0.21296325,0.032243866,0.40137163,-148.0,8074.0,1057.5,18901.0,182.5,12264.0,-30.5,9209.0,0.026886726,0.34457678,0.021422714,0.21397075,0.032373782,0.40150157,-51.0,8171.0,1290.5,19134.0,307.5,12389.0,87.5,9327.0,1,-8.633932774493752,-54.7948517957879,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1462_0,0.102383345,0.33916494,0.1187143,0.20853096,0.08680436,0.38324285,-490.0,8123.0,2347.0,18218.0,-1324.0,11931.0,-804.0,8990.0,0.09975632,0.33653793,0.114481576,0.20429823,0.08203143,0.3784699,-401.5,8211.5,2341.0,18212.0,-1222.0,12033.0,-753.5,9040.5,0.09518321,0.33196482,0.1129451,0.20276177,0.07640207,0.37284055,-535.5,8077.5,1810.5,17681.5,-1535.0,11720.0,-926.0,8868.0,0.1041405,0.34092212,0.10990151,0.19971816,0.090095915,0.3865344,-326.0,8287.0,2859.0,18730.0,-761.0,12494.0,-588.0,9206.0,1,-9.311172667191459,-65.9484241949443,"{""type"":""MultiPoint"",""coordinates"":[]}"
