system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_lag1,3_NDMI_lag1,3_NDVI_lag1,3_SR_B4_lag1,3_SR_B5_lag1,3_SR_B6_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
2_778_0,0.036007565,0.35225466,0.024257006,0.2138617,0.030468715,0.4076017,103.5,7960.5,1543.5,18915.0,416.0,12250.0,36.5,9060.5,0.026463725,0.34271082,0.022362616,0.21196732,0.02341626,0.40054926,110.0,7967.0,1242.5,18614.0,269.0,12103.0,88.0,9112.0,-0.013869444,0.30237764,-0.017926108,0.17167859,-0.015085614,0.3620474,45.0,7902.0,-500.5,16871.0,93.0,11927.0,13.0,9037.0,0.31624708,0.1896047,0.377133,7857.0,17371.5,11834.0,9024.0,0,4.447064898269486,-53.904980675339104,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_779_0,-0.005871814,0.352458,0.0036229612,0.22503616,5.8683596E-4,0.40474305,-110.0,8076.0,-232.5,19058.5,-240.5,12056.5,12.0,9125.0,-0.01689887,0.34143093,-0.010740471,0.21067272,-0.014967218,0.38918898,-101.0,8085.0,-903.0,18388.0,-308.5,11988.5,-85.5,9027.5,-0.019216342,0.33911347,-0.020363394,0.2010498,-0.013028079,0.39112812,-74.0,8112.0,-757.0,18534.0,32.0,12329.0,34.0,9147.0,0.3583298,0.2214132,0.4041562,8186.0,19291.0,12297.0,9113.0,0,-10.146605881422614,-70.6422113859972,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_780_0,0.08629824,0.3644335,0.0464604,0.22018349,0.07211518,0.4241065,-989.0,7960.0,1013.0,19684.0,-564.0,12580.0,-1376.0,9169.0,0.10340502,0.3815403,0.064197496,0.23792058,0.090102345,0.44209367,-853.5,8095.5,2254.5,20925.5,-262.0,12882.0,-1177.5,9367.5,0.028223112,0.30635837,0.0022496956,0.17597279,0.01602013,0.36801144,552.0,9501.0,1895.0,20566.0,1267.0,14411.0,375.0,10920.0,0.27813527,0.17372309,0.3519913,8949.0,18671.0,13144.0,10545.0,0,2.384892332044712,-52.70653825479525,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_781_0,0.0067756223,0.34782135,0.0036060298,0.21314679,0.003992961,0.39861426,44.0,8007.0,277.0,18621.5,89.5,12078.0,-3.5,9010.5,-0.0012921377,0.3397536,-0.0018093964,0.20773137,-8.216838E-4,0.39379963,54.0,8017.0,88.5,18433.0,103.5,12092.0,70.0,9084.0,-0.01068763,0.33035812,-0.014546794,0.19499397,-0.0075440565,0.38707724,138.0,8101.0,-11.5,18333.0,361.5,12350.0,214.0,9228.0,0.34104574,0.20954077,0.3946213,7963.0,18344.5,11988.5,9014.0,0,-13.312628268773455,-69.16133864012617,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_782_0,0.036781196,0.34658512,0.031017283,0.21579069,0.028381484,0.38739684,250.0,8166.0,1710.5,18494.0,380.5,11929.0,130.0,8974.0,0.011256433,0.32106036,0.013125265,0.19789867,0.011757821,0.3707732,39.0,7955.0,546.5,17330.0,55.5,11604.0,62.5,8906.5,0.048173573,0.3579775,0.04849006,0.23326346,0.04159466,0.40061003,141.0,8057.0,2043.5,18827.0,156.5,11705.0,57.0,8901.0,0.30980393,0.1847734,0.35901538,7916.0,16783.5,11548.5,8844.0,0,-10.975840720193345,-54.47684818520959,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_783_0,-0.010458814,0.33852276,-0.008576449,0.19559541,-0.012717882,0.38627657,104.0,8412.0,-338.0,19001.0,3.0,12784.0,57.0,9390.0,-0.021046655,0.32793492,-0.02403761,0.18013425,-0.017482623,0.38151184,-122.0,8186.0,-1054.0,18285.0,-78.0,12703.0,-79.0,9254.0,-0.033874627,0.31510696,-0.027794579,0.17637728,-0.03766664,0.36132783,42.0,8350.0,-1541.0,17798.0,-320.0,12461.0,-64.0,9269.0,0.3489816,0.20417185,0.39899448,8308.0,19339.0,12781.0,9333.0,0,-0.10038673300035654,-74.28254424336315,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_784_0,-0.0042480626,0.32960895,0.0017066037,0.21290149,0.0035842431,0.38071066,48.5,8113.0,258.0,18088.0,126.0,11738.0,215.5,9120.0,-0.019871619,0.31398538,-0.018507507,0.19268739,-0.017663041,0.35946336,4.5,8069.0,-704.5,17125.5,-20.0,11592.0,36.5,8941.0,-0.01425836,0.31959864,-0.007966616,0.20322828,-0.01141529,0.36571112,-32.5,8032.0,-536.0,17294.0,-160.0,11452.0,12.5,8917.0,0.333857,0.21119489,0.37712643,8064.5,17830.0,11612.0,8904.5,0,-8.611834218504411,-70.62307727044546,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_785_0,-0.05892202,0.298388,-0.030292125,0.18472722,-0.07271369,0.3621309,-58.0,8166.0,-3441.5,17438.0,-1489.5,12000.0,-463.5,9423.0,0.013941853,0.37125188,0.015359351,0.2303787,0.0048680315,0.43971264,-113.0,8111.0,-37.5,20842.0,-452.5,13037.0,-330.0,9556.5,0.019285798,0.37659582,0.018937195,0.23395655,0.0076655573,0.44251016,-202.0,8022.0,-122.5,20757.0,-603.5,12886.0,-486.5,9400.0,0.35731003,0.21501935,0.4348446,8224.0,20879.5,13489.5,9886.5,0,2.9842482896092566,-63.1683180536512,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_786_0,-0.020338586,0.35096094,-0.015288537,0.2181188,-0.024632534,0.39704198,187.5,8153.5,-691.0,18891.5,-45.0,12126.0,98.0,9076.0,-0.02084635,0.35045317,-0.009217799,0.22418953,-0.020829082,0.4008454,255.0,8221.0,-361.5,19221.0,10.0,12181.0,267.0,9245.0,0.0037069481,0.37500647,7.2351465E-4,0.23413086,0.002882637,0.42455715,82.0,8048.0,341.0,19923.5,193.0,12364.0,78.0,9056.0,0.37129954,0.23340733,0.4216745,7966.0,19582.5,12171.0,8978.0,0,-1.3298210308463339,-59.907433572297336,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_787_0,0.009923415,0.29042557,0.0055890284,0.15658699,0.009376782,0.3389625,-48.0,8181.0,251.0,16571.0,46.0,12084.0,-58.0,9112.0,0.036251962,0.31675413,0.03759444,0.18859239,0.03627728,0.365863,43.0,8272.0,1497.0,17817.0,125.0,12163.0,75.0,9245.0,0.025097841,0.3056,0.026254185,0.17725214,0.027311292,0.35689703,86.0,8315.0,1224.0,17544.0,223.0,12261.0,161.0,9331.0,0.28050217,0.15099795,0.32958573,8229.0,16320.0,12038.0,9170.0,0,1.6381228363561535,-61.09886913362505,"{""type"":""MultiPoint"",""coordinates"":[]}"
